,nome_estacao,poluente,metrica,ano,nível_de_poluicao,unidade_de_nivel_de_poluicao,tipo_de_estacao,tipo_de_area,longitude,latitude,altitude,cidade,populacao_da_cidade,link_dados_raw,link_tabela_EEA,poluente_descricao,indice_qualidade_do_ar
14,Beato,O3,Média anual,2015,57.254,ug/m3,Fundo,urbano,-9.1175,38.8947,56.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-PT03070&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
15,Laranjeiro,PM2.5,Média anual,2018,13.47,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA-PT03083&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
16,Olivais,PM2.5,Média anual,2006,13.93,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
17,Escavadeira,O3,Média anual,2009,57.859,ug/m3,Industrial,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
18,Entrecampos,SO2,Média anual,2001,7.554,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
19,Laranjeiro,NO2,Média anual,2019,22.335,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA-PT03083&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
20,Quinta do Marquês,O3,Média anual,2020,62.084,ug/m3,Fundo,urbano,-9.3233,38.6975,48.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-PT03091&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
21,Quinta do Marquês,O3,Média anual,2008,60.231,ug/m3,Fundo,urbano,-9.3233,38.6975,48.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
22,Lavradio,SO2,Média anual,2010,2.393,ug/m3,Industrial,urbano,-9.0478,38.6667,31.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
23,Fernando Pó,SO2,Média anual,2019,1.483,ug/m3,Fundo,rural,-8.6906,38.6356,57.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2019&Year_to=2019&Station=STA-PT03099&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
24,Aveiro,PM10,Média anual,2012,35.015,ug/m3,Tráfego,urbano,-8.6467,40.6356,16.0,Aveiro                                                                          ,78734.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Médio
25,Cascais - Escola da Cidadela,O3,Média anual,2020,66.677,ug/m3,Fundo,urbano,-9.4294,38.7014,41.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-PT03104&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
26,Entrecampos,NO2,Média anual,2008,42.965,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Bom
27,Lavradio,NO2,Média anual,2018,16.145,ug/m3,Industrial,urbano,-9.0478,38.6667,31.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2018&Year_to=2018&Station=STA-PT03055&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
28,Chamusca,NO2,Média anual,2006,6.856,ug/m3,Fundo,rural,-8.4661,39.3525,143.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
29,Sonega,NO2,Média anual,2007,3.853,ug/m3,Industrial,rural,-8.7239,37.8711,235.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
30,Entrecampos,PM2.5,Média anual,2011,12.929,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
31,Escavadeira,O3,Média anual,2004,46.489,ug/m3,Industrial,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
32,Quinta do Marquês,O3,Média anual,2003,62.86,ug/m3,Fundo,urbano,-9.3233,38.6975,48.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
33,Entrecampos,SO2,Média anual,2017,0.902,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-PT03072&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
34,Entrecampos,SO2,Média anual,2002,4.266,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
35,Alfragide/Amadora,O3,Média anual,2009,46.291,ug/m3,Fundo,urbano,-9.2075,38.7389,109.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
36,Fernando Pó,NO2,Média anual,2017,6.852,ug/m3,Fundo,rural,-8.6906,38.6356,57.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2017&Year_to=2017&Station=STA-PT03099&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
37,Escavadeira,O3,Média anual,2005,52.972,ug/m3,Industrial,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
38,Estarreja,O3,Média anual,2010,49.634,ug/m3,Industrial,suburbano,-8.5672,40.7586,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
39,Fundão,NO2,Média anual,2006,6.267,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
40,Cascais - Escola da Cidadela,PM10,Média anual,2021,17.791,ug/m3,Fundo,urbano,-9.4294,38.7014,41.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Muito Bom
41,Fernando Pó,SO2,Média anual,2017,1.083,ug/m3,Fundo,rural,-8.6906,38.6356,57.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-PT03099&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
42,Escavadeira,SO2,Média anual,2006,8.111,ug/m3,Industrial,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
43,Laranjeiro,PM2.5,Média anual,2009,11.879,ug/m3,Fundo,urbano,-9.1578,38.6636,63.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
44,Entrecampos,NO2,Média anual,2007,48.67,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Bom
45,Avenida da Liberdade,PM10,Média anual,1999,64.011,ug/m3,Tráfego,urbano,-9.1458,38.7203,44.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Fraco
46,Fernando Pó,O3,Média anual,2016,60.371,ug/m3,Fundo,rural,-8.6906,38.6356,57.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-PT03099&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
47,Sonega,O3,Média anual,2004,68.709,ug/m3,Industrial,rural,-8.7239,37.8711,235.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
48,Quinta do Marquês,O3,Média anual,2019,62.537,ug/m3,Fundo,urbano,-9.3233,38.6975,48.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-PT03091&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
49,Paio Pires,NO2,Média anual,2019,19.8,ug/m3,Industrial,suburbano,-9.0811,38.6194,47.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA-PT03063&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
50,Fundão,PM2.5,Média anual,2005,9.805,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
51,Minho-Lima,PM2.5,Média anual,2006,10.901,ug/m3,Fundo,rural,-8.6939,41.8022,777.0,Viana do Castelo                                                                ,84417.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
52,Olivais,NO2,Média anual,2011,35.973,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
53,Estarreja,PM10,Média anual,2013,26.147,ug/m3,Fundo,suburbano,-8.5672,40.7586,14.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2013&Year_to=2013&Station=STA-PT02004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
54,Lavradio,PM10,Média anual,2006,30.595,ug/m3,Industrial,urbano,-9.0478,38.6667,31.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Bom
55,Olivais,NO2,Média anual,2013,29.389,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2013&Year_to=2013&Station=STA-PT03071&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
56,Olivais,NO2,Média anual,1998,43.652,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Bom
57,Fundão,PM2.5,Média anual,2021,8.612,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
58,Fundão,PM2.5,Média anual,2010,6.85,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Muito Bom
59,Olivais,SO2,Média anual,2002,2.538,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
60,David Neto,NO2,Média anual,2011,25.639,ug/m3,Tráfego,urbano,-8.5422,37.1383,6.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
61,Meco-Perafita,SO2,Média anual,2009,4.927,ug/m3,Fundo,suburbano,-8.7131,41.2322,25.0,Porto (greater city)                                                            ,955864.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
62,Monte Chãos,SO2,Média anual,2016,5.473,ug/m3,Industrial,suburbano,-8.8381,37.9542,129.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2016&Year_to=2016&Station=STA-PT04001&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
63,Fundão,O3,Média anual,2015,64.98,ug/m3,Fundo,rural,-7.3019,40.2331,461.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-PT02020&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
64,Estarreja,SO2,Média anual,2001,11.129,ug/m3,Industrial,suburbano,-8.5672,40.7586,14.0,,,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
65,Alfragide/Amadora,PM10,Média anual,2015,,ug/m3,Fundo,urbano,-9.2075,38.7389,109.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA-PT03082&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,
66,Olivais,O3,Média anual,2012,51.612,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
67,Olivais,PM2.5,Média anual,2017,11.594,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=6001&Year_from=2017&Year_to=2017&Station=STA-PT03071&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
