,idade,genero,local,titulo,anos_de_experiencia,tamanho_da_empresa,salario_bruto_mensal,outros_beneficios,salario_processado,bins_salario
34,45-54,mulher,Heidelberg,Computer Scientist,> 16 anos de experiência,+ 1000 pessoas,"5,400€",,5400.0,4000-6000
35,25-34,homem,Lisboa,Consultant,< 10 anos de experiência,51 - 100 pessoas,"2,000€","Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Gym Membership",2000.0,2000-3999
36,18-24,homem,Lisboa,Consultant,< 5 anos de experiência,+ 1000 pessoas,"1,800€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership
",1800.0,menos de 2000
37,18-24,homem,Lisboa,Consultant,< 5 anos de experiência,+ 1000 pessoas,"1,800€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership
",1800.0,menos de 2000
38,25-34,mulher,Lisboa,Consultant,< 5 anos de experiência,+ 1000 pessoas,"1,920€",Health insurance,1920.0,menos de 2000
39,25-34,mulher,Lisboa,Consultant,< 5 anos de experiência,25 - 50 pessoas,"1,975€",Health Insurance,1975.0,menos de 2000
40,25-34,mulher,Porto ,Consultant Power BI e PowerApps,< 2 anos de experiência,1 - 10 pessoas,"1,000€",,1000.0,menos de 2000
41,25-34,mulher,Lisboa,Content Manager,< 10 anos de experiência,11 - 25 pessoas,"1,500€","Parental Leave, Employee Development Programs, Stock Options, Free Lunch plus Meal Card ",1500.0,menos de 2000
42,25-34,mulher,Lisboa,Content Marketing Manager,< 5 anos de experiência,100 - 200 pessoas,"2,800€","Health Insurance, Personal Development Budget, Discounts in stores and gyms, and compound stock options",2800.0,2000-3999
43,25-34,mulher,Lisboa,Content Specialist,< 5 anos de experiência,+ 200 pessoas,"1,500€","health insurance, employee development, employee discounts  (salary includes meal allowance card)",1500.0,menos de 2000
44,35-44,mulher,Lisboa,Content/Freelancer ,<15 anos de experiência,1 - 10 pessoas,"2,200€",I'm a freelancer. ,2200.0,2000-3999
45,45-54,homem,Braga,Continuous improvement projects manager,> 16 anos de experiência,+ 1000 pessoas,"2,580€","Health insurance, mobile phone ",2580.0,2000-3999
46,25-34,mulher,Porto,COO,< 10 anos de experiência,1 - 10 pessoas,"1,200€",,1200.0,menos de 2000
47,25-34,mulher,Aveiro,COO ,< 5 anos de experiência,1 - 10 pessoas,"1,000€",Equity,1000.0,menos de 2000
48,25-34,mulher,Lisboa,CRM Assistant,< 2 anos de experiência,+ 1000 pessoas,"1,800€","health insurance, gym membership",1800.0,menos de 2000
49,35-44,mulher,Lisboa,Data Analyst,< 2 anos de experiência,100 - 200 pessoas,"1,200€",health insurance,1200.0,menos de 2000
50,25-34,mulher,Porto,Data Analyst,< 5 anos de experiência,+ 500 pessoas,"1,550€","meal allowance, flex benefits 100€ per month, health insurance, employee discounts, stock options",1550.0,menos de 2000
51,18-24,homem,Porto,Data Analyst,Sem experiência,25 - 50 pessoas,"1,100€",,1100.0,menos de 2000
52,35-44,mulher,Porto,Data Analyst,< 10 anos de experiência,+ 200 pessoas,"1,950€",Health Insurance,1950.0,menos de 2000
53,25-34,homem,Porto,Data Analyst,Sem experiência,100 - 200 pessoas,"1,200€",Health Insurance,1200.0,menos de 2000
54,25-34,homem,Porto,Data Analyst,< 10 anos de experiência,+ 1000 pessoas,"2,000€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Stock Options and/or Equity.",2000.0,2000-3999
55,35-44,mulher,Porto,Data Analyst,< 10 anos de experiência,+ 1000 pessoas,"1,900€","Health Insurance, Employee Development Programs, Employee Discounts, Stock Options",1900.0,menos de 2000
56,25-34,homem,Porto,Data Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,300€",Health Insurance,1300.0,menos de 2000
57,25-34,mulher,Lisboa,Data and Business Analyst,< 10 anos de experiência,+ 1000 pessoas,"2,583€","Health Insurance, Parental Leave, Meal Tickets, academic education",2583.0,2000-3999
58,25-34,homem,Lisboa,Data Engineer,< 5 anos de experiência,+ 1000 pessoas,"2,900€","Health Insurance, Parental Leave, Gym Membership, Stock options, possibility to buy gadgets, bonus of 6000€, most of the time work from home, meal allowance (160€ month), training and paid certifications, work computer, mobile phone, paid conferences with trip, and cartão ensino",2900.0,2000-3999
59,25-34,mulher,Lisboa,Data Engineer,< 5 anos de experiência,+ 200 pessoas,"3,500€","Health insurance, stock options, meal allowance, employee assistance program, gym membership, event tickets, work laptop",3500.0,2000-3999
60,25-34,mulher,Porto,Data Engineer,< 10 anos de experiência,51 - 100 pessoas,"1,970€",Health insurance,1970.0,menos de 2000
61,25-34,mulher,Lisboa,Data Science Consultant,< 2 anos de experiência,51 - 100 pessoas,"1,130€","300 euro/monthly for expenses and premium, plus food allowance 140 euro/monthly. Health insurance, cellphone and sim.",1130.0,menos de 2000
62,25-34,mulher,Porto,Data Science Lead,< 10 anos de experiência,+ 1000 pessoas,"2,150€","Health Insurance, Parental Leave, Employee Discounts, Anual Bonus ~6000, Meal Allowance, Mobile Phone,  Flexible Remote Work Once a Week",2150.0,2000-3999
63,35-44,homem,Aveiro,Data Scientist,<15 anos de experiência,+ 500 pessoas,"4,000€",,4000.0,4000-6000
64,18-24,mulher,Lisboa,Data Scientist,< 2 anos de experiência,+ 1000 pessoas,"1,650€","Health Insurance, Meal Card, Pension Fund",1650.0,menos de 2000
65,25-34,homem,Lisboa,Data Scientist,< 2 anos de experiência,1 - 10 pessoas,"1,100€",,1100.0,menos de 2000
66,18-24,mulher,Lisboa,Data Scientist,< 2 anos de experiência,11 - 25 pessoas,"1,875€","Food allowance, employee development programs",1875.0,menos de 2000
67,25-34,homem,Lisboa,Data Scientist,< 5 anos de experiência,+ 1000 pessoas,"2,650€",Health Insurance,2650.0,2000-3999
68,25-34,homem,Maia,Data Scientist,< 5 anos de experiência,+ 1000 pessoas,"2,100€","Health Insurance, Parental Leave, Phone, Employee Discounts, Annual bonus up to 4500€",2100.0,2000-3999
69,25-34,mulher,Porto,Data Scientist,< 5 anos de experiência,+ 200 pessoas,"2,900€","Health Insurance, Parental Leave, Employee Development Program, Employee Discounts, Gym Membership",2900.0,2000-3999
70,25-34,mulher,Porto,Data Scientist,< 5 anos de experiência,100 - 200 pessoas,"2,650€","Health Insurance, Parental Leave, Food and snacks",2650.0,2000-3999
71,18-24,mulher,Porto,Data Scientist,< 2 anos de experiência,+ 200 pessoas,"2,225€","Health Insurance, Parental Leave, Employee Development Programs, Gym Membership, Stock Options, Snacks and Soup at the office, Remote work option",2225.0,2000-3999
72,45-54,mulher,porto,Data Scientist,<15 anos de experiência,100 - 200 pessoas,"4,500€",,4500.0,4000-6000
73,25-34,mulher,Eindhoven ,Data specialist ,< 5 anos de experiência,+ 1000 pessoas,"3,700€","13th month, profit sharing, holiday allowance",3700.0,2000-3999
74,25-34,mulher,Berlin,Design Lead,< 10 anos de experiência,25 - 50 pessoas,"5,000€","Parental Leave (24 months for one parent, 28 months for the two), Public Transportation Card, some expenses for professional development, employee discounts in certain websites",5000.0,4000-6000
75,25-34,homem,Lisboa,Designer,<15 anos de experiência,1 - 10 pessoas,"10,000€",None,10000.0,mais de 6000
76,25-34,homem,Lisboa,Designer,<15 anos de experiência,1 - 10 pessoas,"10,000€",None,10000.0,mais de 6000
77,35-44,homem,Lisboa,Designer,> 16 anos de experiência,+ 500 pessoas,"2,500€",,2500.0,2000-3999
78,25-34,mulher,Lisboa,Designer,< 5 anos de experiência,+ 1000 pessoas,"1,550€","Health Insurance, Gym Membership and Employee Discounts",1550.0,menos de 2000
79,25-34,mulher,Lisboa,Designer,< 10 anos de experiência,25 - 50 pessoas,900€,,900.0,menos de 2000
80,25-34,mulher,Lisboa,Designer,< 5 anos de experiência,11 - 25 pessoas,"1,200€",Like Health Insurance,1200.0,menos de 2000
81,25-34,mulher,Lisboa,Developer,< 5 anos de experiência,+ 200 pessoas,"1,500€","Health Insurance, Parental Leave, Employee Development Programs",1500.0,menos de 2000
82,25-34,mulher,Lisboa,Developer,< 10 anos de experiência,11 - 25 pessoas,"1,980€","Health Insurance, Flex benefits",1980.0,menos de 2000
83,25-34,mulher,Lisboa,Developer,Sem experiência,+ 1000 pessoas,"1,500€","Health Insurance, Parental Leave, Mobile Phone Plan, Extra Vacation Days, Employee partnerships and discounts, Vacation allowance (Christmas and Summer), Food allowance, Fruit & coffee/tea ",1500.0,menos de 2000
84,25-34,mulher,Porto,Developer,< 10 anos de experiência,1 - 10 pessoas,900€,seguro de saúde,900.0,menos de 2000
85,25-34,mulher,Braga,Developer,< 5 anos de experiência,25 - 50 pessoas,"1,400€",Health insurance,1400.0,menos de 2000
86,25-34,mulher,Cascais,Developer,< 5 anos de experiência,1 - 10 pessoas,850€,No other bennefits,850.0,menos de 2000
87,25-34,mulher,Fundão,Developer (Trainee),< 2 anos de experiência,+ 200 pessoas,980€,Training,980.0,menos de 2000
88,25-34,mulher,Braga,Developer and tester engineer,< 5 anos de experiência,+ 1000 pessoas,"1,600€","Health Insurance, Parental Leave, Employee Development Programs",1600.0,menos de 2000
89,25-34,mulher,London,Digital Account Manager,< 5 anos de experiência,100 - 200 pessoas,"2,720€",,2720.0,2000-3999
90,25-34,mulher,Lisboa,Digital Artist,< 10 anos de experiência,11 - 25 pessoas,"1,700€",Parental leave. Flexibily in working hours.,1700.0,menos de 2000
91,25-34,mulher,Lisboa,Digital Data Analyst,< 5 anos de experiência,+ 200 pessoas,"2,400€","Health Insurance, company phone, employee discounts",2400.0,2000-3999
92,25-34,mulher,Lisboa,Digital Data Analytics,< 10 anos de experiência,+ 200 pessoas,"2,600€","Health Insurance, Employee Development Programs, Employee Discounts, Gym Membership",2600.0,2000-3999
93,18-24,mulher,Porto,Digital Designer,< 5 anos de experiência,25 - 50 pessoas,"1,100€","Health Insurance, Parental Leave, Bi-annual Products, Self-improvement Budget",1100.0,menos de 2000
94,35-44,mulher,Lisboa,Digital Marketing & Communications,<15 anos de experiência,51 - 100 pessoas,"1,630€","Health insurance, Phone (with calls and Internet), extra days off",1630.0,menos de 2000
95,25-34,mulher,Porto,Digital Marketing and eCommerce Manager,< 5 anos de experiência,51 - 100 pessoas,"1,100€","Health Insurance, Lunch pay (5,60€)",1100.0,menos de 2000
96,25-34,mulher,Marco de Canaveses,Digital Marketing e Ecommerce Assistant,< 5 anos de experiência,51 - 100 pessoas,"1,100€",Health Insurance,1100.0,menos de 2000
97,18-24,mulher,Lisboa,Digital Marketing Manager,< 5 anos de experiência,+ 1000 pessoas,"2,000€","Health Insurance, Employee Discounts, lunch tickets (11,50EUR)",2000.0,2000-3999
98,25-34,mulher,Alemanha ,Director,<15 anos de experiência,+ 1000 pessoas,"11,983€","Health insurance, parental leave, employee dev programs, stock options, lunch ",11983.0,mais de 6000
99,35-44,mulher,Lisboa,Director of Data Science,<15 anos de experiência,+ 500 pessoas,"4,700€","Health Insurance, stock options, parking spot, budget for training, free coffee and fruit, employee discounts",4700.0,4000-6000
100,35-44,mulher,Amsterdam,Director of User Experience,<15 anos de experiência,51 - 100 pessoas,"10,800€","Lunch, Stock Options",10800.0,mais de 6000
101,25-34,mulher,Lisboa,Editorial Manager,< 5 anos de experiência,100 - 200 pessoas,"2,445€","Health insurance, Parental Leave, Employee Development Programs, Stock Options",2445.0,2000-3999
102,35-44,homem,Águeda ,Electrical engineer,< 10 anos de experiência,+ 200 pessoas,"1,250€",,1250.0,menos de 2000
103,25-34,homem,Porto,Engineer,< 2 anos de experiência,51 - 100 pessoas,"2,000€",,2000.0,2000-3999
104,25-34,mulher,Lisboa,Enterprise Account Executive,< 10 anos de experiência,+ 200 pessoas,"2,700€",,2700.0,2000-3999
105,25-34,mulher,Lisboa,Finance Manager,< 10 anos de experiência,51 - 100 pessoas,"3,500€",,3500.0,2000-3999
106,25-34,mulher,Coimbra,Founder,< 5 anos de experiência,1 - 10 pessoas,957€,,957.0,menos de 2000
107,25-34,mulher,Aveiro,Freelance Designer,<15 anos de experiência,1 - 10 pessoas,"2,000€",,2000.0,2000-3999
108,25-34,mulher,Aveiro,Frontend Developer,<15 anos de experiência,+ 200 pessoas,"8,400€","Education budget, no limit paid time off, 3 months parental leave, music subscription, books subscription, mental health days, 2 company wide retreats per year, office setup budget, employee discounts in some brands",8400.0,mais de 6000
109,25-34,mulher,Lisboa,Frontend Developer,< 2 anos de experiência,51 - 100 pessoas,"1,500€","Health Insurance, training and paid certifications, food stamps/cartao refeição, possibility of working from home permanently, work computer and mobile phone",1500.0,menos de 2000
110,35-44,homem,Lisboa,Frontend Developer,< 10 anos de experiência,+ 1000 pessoas,"1,600€","Health Insurance, ",1600.0,menos de 2000
111,35-44,mulher,Lisboa,Frontend Developer,< 5 anos de experiência,100 - 200 pessoas,"1,400€",Health Insurance,1400.0,menos de 2000
112,35-44,mulher,Lisboa,Frontend Developer,< 5 anos de experiência,100 - 200 pessoas,"1,300€","Free fruit (before isolation), meal allowance (ticket), gym discount and day off on my birthday.",1300.0,menos de 2000
113,18-24,mulher,Porto,Frontend Developer,< 2 anos de experiência,1 - 10 pessoas,450€,Company car and gas.  ,450.0,menos de 2000
114,25-34,mulher,Porto,Frontend Developer,< 5 anos de experiência,+ 500 pessoas,"1,700€","Health Insurance, food, pilates, parental leave ",1700.0,menos de 2000
115,25-34,mulher,Lisboa,Frontend Developer,< 5 anos de experiência,+ 1000 pessoas,"1,808€","200€/month in benefits, including health insurance and discounts in gadgets",1808.0,menos de 2000
116,25-34,mulher,Porto,Frontend Engineer,< 10 anos de experiência,+ 1000 pessoas,"2,300€","Health Insurance,
Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership, Stock Options and Equity",2300.0,2000-3999
117,18-24,mulher,Porto,Frontend Engineer,< 5 anos de experiência,25 - 50 pessoas,"2,500€","Health insurance, life insurance, gym membership, snacks at the office, parking/subway month ticket",2500.0,2000-3999
118,35-44,homem,Covilhã,Full Stack Developer,< 2 anos de experiência,+ 200 pessoas,970€,,970.0,menos de 2000
119,25-34,homem,Porto,Full Stack Developer,< 2 anos de experiência,+ 500 pessoas,"1,400€","Health insurance, Food allowance(7,20€/day)",1400.0,menos de 2000
120,35-44,mulher,Porto,Full Stack Developer,<15 anos de experiência,+ 200 pessoas,"2,150€","Health insurance, lawyer assistance",2150.0,2000-3999
121,25-34,homem,Porto,Full Stack Developer,< 5 anos de experiência,1 - 10 pessoas,"1,400€",None.,1400.0,menos de 2000
122,25-34,mulher,Lisboa,Full Stack Developer,< 10 anos de experiência,+ 1000 pessoas,"2,770€","Health Insurance, Extended Maternal Leave, Child Support, Phone Plan, Nutrition and Psychotherapy Appointments, German Classes, Additional Vacations...",2770.0,2000-3999
123,35-44,homem,Porto,Full Stack Developer ,> 16 anos de experiência,+ 1000 pessoas,"2,200€",Some benefits ,2200.0,2000-3999
124,25-34,homem,Lisboa,Full Stack Engineer,< 10 anos de experiência,100 - 200 pessoas,"3,136€",Monthly transportation ticket and pension funds,3136.0,2000-3999
125,25-34,mulher,Porto,Fullstack Engineer,< 5 anos de experiência,11 - 25 pessoas,"2,250€",,2250.0,2000-3999
126,35-44,mulher,Porto,Functional analyst,< 2 anos de experiência,+ 500 pessoas,900€,"Health insurance, french classes on site, ISTQB exam and preparation classes (free)",900.0,menos de 2000
127,35-44,mulher,Porto,Functional analyst,< 2 anos de experiência,+ 200 pessoas,"1,100€","Health insurance, free online training courses, part of the salary paid in subsistence allowance",1100.0,menos de 2000
128,35-44,mulher,Lisboa,Global Head of People & Culture,> 16 anos de experiência,+ 500 pessoas,"6,000€","Seguro de Saúde, SO",6000.0,4000-6000
129,25-34,mulher,Lisboa,Global Talent Acquisition Manager,<15 anos de experiência,+ 500 pessoas,"3,250€","Health Insurance, Employee Discounts",3250.0,2000-3999
130,18-24,mulher,Porto,Graphic Designer,< 5 anos de experiência,11 - 25 pessoas,"1,200€",,1200.0,menos de 2000
131,25-34,mulher,London,Group Product Manager,< 10 anos de experiência,+ 200 pessoas,£8750,,10229.62,mais de 6000
132,35-44,homem,Braga,Hardware engineer,< 10 anos de experiência,+ 200 pessoas,"2,300€",,2300.0,2000-3999
133,25-34,homem,Porto,Head Finance,< 10 anos de experiência,51 - 100 pessoas,"1,530€","expense budget, meal allowance (140 € month)",1530.0,menos de 2000
134,25-34,mulher,Porto,Head of Business Development,< 10 anos de experiência,1 - 10 pessoas,"€1,080",,1080.0,menos de 2000
135,25-34,mulher,Porto,Head of Business Development,< 10 anos de experiência,1 - 10 pessoas,972€,meal allowance and summer + holiday paid in twelfths,972.0,menos de 2000
136,35-44,mulher,Lisboa,Head of Commercial Innovation Center,> 16 anos de experiência,+ 1000 pessoas,"7,000€","Health Insurance, Life Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Car (Gas and tooling included), annual bonus, pension fund.",7000.0,mais de 6000
137,25-34,mulher,Porto,Head of communications,< 5 anos de experiência,1 - 10 pessoas,"2,500€","Health Insurance, free coffee and snaks, Parental Leave, Remote work option, food allowance 140 euro/monthly and Ticket Infância.",2500.0,2000-3999
138,25-34,homem,Porto,Head of Department,< 10 anos de experiência,1 - 10 pessoas,"5,000€",+ Bonus depending on business raiseed,5000.0,4000-6000
139,25-34,mulher,Porto,Head of Innovation & Marketing,<15 anos de experiência,+ 500 pessoas,"3,600€","Health Insurance, Parental Leave, Employee Courses",3600.0,2000-3999
140,25-34,mulher,Braga,Head of Marketing,< 10 anos de experiência,1 - 10 pessoas,"1,550€",*Some Dev's of my team have perks. I don't have,1550.0,menos de 2000
141,25-34,mulher,Lisboa,Head of Marketing,< 10 anos de experiência,100 - 200 pessoas,"2,600€","Health & Life Insurance, Gym discount, Monthly Transport Ticket, Udemy Account, Phone & Computer, Snacks & Drinks at the office",2600.0,2000-3999
142,35-44,mulher,Lisboa,head of marketing,< 10 anos de experiência,+ 200 pessoas,"18,000€",,18000.0,mais de 6000
143,35-44,mulher,Lisboa,Head of Marketing & Communications,> 16 anos de experiência,100 - 200 pessoas,"3,600€","Health Uma grande, employee purchase program ",3600.0,2000-3999
144,25-34,mulher,Porto,Head of Marketing and Communications,< 5 anos de experiência,25 - 50 pessoas,"2,000€","Health Insurance,",2000.0,2000-3999
145,25-34,mulher,Porto,Head of Operations,< 10 anos de experiência,11 - 25 pessoas,"1,700€","Health insurance, learning budget, 2 one retreats, unlimited vacations, flexible time, profit distribution and remote work",1700.0,menos de 2000
146,35-44,mulher,Porto,Head of Operations,<15 anos de experiência,1 - 10 pessoas,"1,750€","Parental leave, discount on gym, equity",1750.0,menos de 2000
147,35-44,mulher,Porto,Head of Operations,> 16 anos de experiência,11 - 25 pessoas,"1,725€","Equity, parental leave, meal allowance (110€), office food, weekly gatherings for lunch",1725.0,menos de 2000
148,25-34,mulher,Porto,Head of Operations,< 10 anos de experiência,25 - 50 pessoas,"2,400€",Health insurance,2400.0,2000-3999
149,25-34,mulher,Lisboa,Head of People,<15 anos de experiência,51 - 100 pessoas,"4,167€","Employee Discounts, Gym Membership, health insurance, bonus, mobile, Parental Leave, extra time off ",4167.0,4000-6000
150,25-34,mulher,Lisboa,Head of Product,< 10 anos de experiência,+ 200 pessoas,"7,100€",Health Insurance,7100.0,mais de 6000
151,25-34,mulher,Porto,Head of Research,<15 anos de experiência,1 - 10 pessoas,"1,080€",,1080.0,menos de 2000
152,18-24,mulher,Lisboa,HR,< 5 anos de experiência,+ 1000 pessoas,"1,182€","Food Allowance, Health Insurance, Life Insurance",1182.0,menos de 2000
153,25-34,mulher,Lisboa,HR,<15 anos de experiência,+ 200 pessoas,"2,600€","Gym, cleaning, office food, monthly team dinners, Quarterly social events.",2600.0,2000-3999
154,25-34,mulher,Lisboa,HR,< 5 anos de experiência,100 - 200 pessoas,"1,700€",,1700.0,menos de 2000
155,25-34,mulher,Lisboa,HR,< 5 anos de experiência,+ 1000 pessoas,"1,300€","Health Insurance, Work remotely whenever ",1300.0,menos de 2000
156,25-34,mulher,Lisboa,HR,< 5 anos de experiência,51 - 100 pessoas,"1,420€","Health Insurance, Employee Discounts",1420.0,menos de 2000
157,25-34,mulher,Lisboa,HR ,< 5 anos de experiência,+ 500 pessoas,"1,575€",commissions + health insurance + transportation + meal allowance ,1575.0,menos de 2000
158,25-34,homem,Porto,HR - Learning and Development,< 10 anos de experiência,+ 200 pessoas,"2,300€","Health Insurance, Parental Leave",2300.0,2000-3999
159,35-44,mulher,Porto,HR Business Partner,<15 anos de experiência,+ 500 pessoas,"2,350€","Health Insurance, Life Insurance, Employee Discount",2350.0,2000-3999
160,25-34,mulher,Vila Nova de Gaia,HR Generalist,< 10 anos de experiência,+ 1000 pessoas,"1,400€","Health insurance, yearly wins, employee discounts",1400.0,menos de 2000
161,25-34,mulher,Lisboa,HR Generalist,< 5 anos de experiência,+ 1000 pessoas,"1,450€","Health Insurance, Stock Options, Annual Bonus, Employee Discounts, Flexible Schedule, Work From Home Flexibility.",1450.0,menos de 2000
162,25-34,mulher,Braga,HR Manager,< 5 anos de experiência,25 - 50 pessoas,"1,200€","Health insurance, gym, stock options, parental leave",1200.0,menos de 2000
163,35-44,mulher,Lisboa,HR Manager,< 5 anos de experiência,25 - 50 pessoas,"2,500€","Health Insurance, Employee Discounts, Flexible work time",2500.0,2000-3999
164,35-44,mulher,Lisboa,HR Manager,<15 anos de experiência,51 - 100 pessoas,"2,199€","Health Insurance, EAP, Parental Leave, Employee Development Programs,  Gym Membership, Stock Options and/or Equity, Flexible working pattern",2199.0,2000-3999
