,período,região,instituição,localização_geográfica,total_partos,total_cesarianas,ano,mês,partos_mês,cesarianas_mês,percent_cesarianas_mês,percent_cesarianas_ano
2670,2015-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",738,238,2015,2,336.0,119.0,35.4,não aplicável
171,2015-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1105,329,2015,3,367.0,91.0,24.8,não aplicável
2684,2015-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1492,433,2015,4,387.0,104.0,26.9,não aplicável
185,2015-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1929,563,2015,5,437.0,130.0,29.7,não aplicável
2699,2015-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2341,677,2015,6,412.0,114.0,27.7,não aplicável
200,2015-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2767,792,2015,7,426.0,115.0,27.0,não aplicável
1846,2015-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3211,922,2015,8,444.0,130.0,29.3,não aplicável
215,2015-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3689,1045,2015,9,478.0,123.0,25.7,não aplicável
1077,2015-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4133,1167,2015,10,444.0,122.0,27.5,não aplicável
3550,2015-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4546,1279,2015,11,413.0,112.0,27.1,não aplicável
3559,2015-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4949,1390,2015,12,403.0,111.0,27.5,28.1
248,2016-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",396,109,2016,1,396.0,109.0,27.5,não aplicável
253,2016-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",759,196,2016,2,363.0,87.0,24.0,não aplicável
2766,2016-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1126,294,2016,3,367.0,98.0,26.7,não aplicável
2772,2016-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1499,406,2016,4,373.0,112.0,30.0,não aplicável
2786,2016-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1926,528,2016,5,427.0,122.0,28.6,não aplicável
3593,2016-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2332,641,2016,6,406.0,113.0,27.8,não aplicável
289,2016-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2755,735,2016,7,423.0,94.0,22.2,não aplicável
2810,2016-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3204,848,2016,8,449.0,113.0,25.2,não aplicável
305,2016-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3667,955,2016,9,463.0,107.0,23.1,não aplicável
3621,2016-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4064,1042,2016,10,397.0,87.0,21.9,não aplicável
3632,2016-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4484,1202,2016,11,420.0,160.0,38.1,não aplicável
1963,2016-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4885,1264,2016,12,401.0,62.0,15.5,25.9
1186,2017-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",418,126,2017,1,418.0,126.0,30.1,não aplicável
1194,2017-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",768,226,2017,2,350.0,100.0,28.6,não aplicável
343,2017-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1160,346,2017,3,392.0,120.0,30.6,não aplicável
2864,2017-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1548,456,2017,4,388.0,110.0,28.4,não aplicável
358,2017-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1950,565,2017,5,402.0,109.0,27.1,não aplicável
370,2017-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2357,659,2017,6,407.0,94.0,23.1,não aplicável
2891,2017-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2807,801,2017,7,450.0,142.0,31.6,não aplicável
2028,2017-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3214,912,2017,8,407.0,111.0,27.3,não aplicável
1244,2017-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3606,1027,2017,9,392.0,115.0,29.3,não aplicável
2912,2017-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4006,1130,2017,10,400.0,103.0,25.8,não aplicável
400,2017-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4409,1235,2017,11,403.0,105.0,26.1,não aplicável
1261,2017-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4821,1345,2017,12,412.0,110.0,26.7,27.9
2070,2018-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",396,141,2018,1,396.0,141.0,35.6,não aplicável
2079,2018-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",751,247,2018,2,355.0,106.0,29.9,não aplicável
1284,2018-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1106,363,2018,3,355.0,116.0,32.7,não aplicável
3755,2018-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1482,456,2018,4,376.0,93.0,24.7,não aplicável
1297,2018-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1915,587,2018,5,433.0,131.0,30.3,não aplicável
3772,2018-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2288,700,2018,6,373.0,113.0,30.3,não aplicável
1311,2018-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2666,822,2018,7,378.0,122.0,32.3,não aplicável
477,2018-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3078,930,2018,8,412.0,108.0,26.2,não aplicável
1322,2018-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3534,1058,2018,9,456.0,128.0,28.1,não aplicável
496,2018-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3946,1179,2018,10,412.0,121.0,29.4,não aplicável
505,2018-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4347,1297,2018,11,401.0,118.0,29.4,não aplicável
512,2018-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4739,1426,2018,12,392.0,129.0,32.9,30.1
1356,2019-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",402,123,2019,1,402.0,123.0,30.6,não aplicável
2152,2019-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",815,254,2019,2,413.0,131.0,31.7,não aplicável
3858,2019-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1160,346,2019,3,345.0,92.0,26.7,não aplicável
3031,2019-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1515,445,2019,4,355.0,99.0,27.9,não aplicável
3042,2019-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1879,554,2019,5,364.0,109.0,29.9,não aplicável
556,2019-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2224,655,2019,6,345.0,101.0,29.3,não aplicável
560,2019-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2654,770,2019,7,430.0,115.0,26.7,não aplicável
569,2019-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3069,896,2019,8,415.0,126.0,30.4,não aplicável
3059,2019-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3498,1006,2019,9,429.0,110.0,25.6,não aplicável
3069,2019-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3926,1114,2019,10,428.0,108.0,25.2,não aplicável
3920,2019-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4286,1205,2019,11,360.0,91.0,25.3,não aplicável
601,2019-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4679,1316,2019,12,393.0,111.0,28.2,28.1
3939,2020-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",380,117,2020,1,380.0,117.0,30.8,não aplicável
1456,2020-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",738,223,2020,2,358.0,106.0,29.6,não aplicável
3106,2020-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1140,330,2020,3,402.0,107.0,26.6,não aplicável
2258,2020-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1496,421,2020,4,356.0,91.0,25.6,não aplicável
3972,2020-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1879,534,2020,5,383.0,113.0,29.5,não aplicável
1479,2020-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2236,641,2020,6,357.0,107.0,30.0,não aplicável
659,2020-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2641,736,2020,7,405.0,95.0,23.5,não aplicável
2291,2020-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3022,844,2020,8,381.0,108.0,28.3,não aplicável
675,2020-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3423,937,2020,9,401.0,93.0,23.2,não aplicável
3156,2020-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3835,1057,2020,10,412.0,120.0,29.1,não aplicável
3163,2020-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4231,1185,2020,11,396.0,128.0,32.3,não aplicável
1514,2020-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4590,1281,2020,12,359.0,96.0,26.7,27.9
707,2021-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",319,82,2021,1,319.0,82.0,25.7,não aplicável
1524,2021-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",619,166,2021,2,300.0,84.0,28.0,não aplicável
2354,2021-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1006,287,2021,3,387.0,121.0,31.3,não aplicável
1540,2021-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1338,378,2021,4,332.0,91.0,27.4,não aplicável
3199,2021-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1696,479,2021,5,358.0,101.0,28.2,não aplicável
1557,2021-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2035,558,2021,6,339.0,79.0,23.3,não aplicável
2392,2021-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2405,663,2021,7,370.0,105.0,28.4,não aplicável
4074,2021-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2807,768,2021,8,402.0,105.0,26.1,não aplicável
4083,2021-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3154,852,2021,9,347.0,84.0,24.2,não aplicável
1587,2021-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3533,939,2021,10,379.0,87.0,23.0,não aplicável
2427,2021-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3861,1031,2021,11,328.0,92.0,28.0,não aplicável
3256,2021-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4249,1142,2021,12,388.0,111.0,28.6,26.9
2444,2022-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",319,84,2022,1,319.0,84.0,26.3,não aplicável
794,2022-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",689,195,2022,2,370.0,111.0,30.0,não aplicável
804,2022-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1028,305,2022,3,339.0,110.0,32.4,não aplicável
808,2022-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1379,398,2022,4,351.0,93.0,26.5,não aplicável
1,2013-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",142,50,2013,1,142.0,50.0,35.2,não aplicável
824,2013-02,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",268,77,2013,2,126.0,27.0,21.4,não aplicável
1634,2013-03,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",420,125,2013,3,152.0,48.0,31.6,não aplicável
25,2013-04,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",555,160,2013,4,135.0,35.0,25.9,não aplicável
1650,2013-05,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",704,207,2013,5,149.0,47.0,31.5,não aplicável
2522,2013-06,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",823,241,2013,6,119.0,34.0,28.6,não aplicável
1665,2013-07,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",949,275,2013,7,126.0,34.0,27.0,não aplicável
1672,2013-08,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1074,301,2013,8,125.0,26.0,20.8,não aplicável
67,2013-09,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1221,344,2013,9,147.0,43.0,29.3,não aplicável
75,2013-10,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1336,368,2013,10,115.0,24.0,20.9,não aplicável
898,2013-11,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1464,406,2013,11,128.0,38.0,29.7,não aplicável
2573,2013-12,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1573,444,2013,12,109.0,38.0,34.9,28.2
914,2014-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",130,37,2014,1,130.0,37.0,28.5,não aplicável
97,2014-02,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",268,77,2014,2,138.0,40.0,29.0,não aplicável
934,2014-03,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",348,93,2014,3,80.0,16.0,20.0,não aplicável
950,2014-04,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",464,120,2014,4,116.0,27.0,23.3,não aplicável
957,2014-05,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",594,158,2014,5,130.0,38.0,29.2,não aplicável
3415,2014-06,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",698,191,2014,6,104.0,33.0,31.7,não aplicável
123,2014-07,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",834,220,2014,7,136.0,29.0,21.3,não aplicável
130,2014-08,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",970,263,2014,8,136.0,43.0,31.6,não aplicável
990,2014-09,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1137,315,2014,9,167.0,52.0,31.1,não aplicável
2640,2014-10,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1261,345,2014,10,124.0,30.0,24.2,não aplicável
3460,2014-11,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1355,370,2014,11,94.0,25.0,26.6,não aplicável
151,2014-12,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1470,407,2014,12,115.0,37.0,32.2,27.7
3479,2015-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",114,38,2015,1,114.0,38.0,33.3,não aplicável
1798,2015-02,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",219,64,2015,2,105.0,26.0,24.8,não aplicável
3491,2015-03,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",327,101,2015,3,108.0,37.0,34.3,não aplicável
2686,2015-04,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",442,131,2015,4,115.0,30.0,26.1,não aplicável
3508,2015-05,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",545,168,2015,5,103.0,37.0,35.9,não aplicável
1829,2015-06,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",666,202,2015,6,121.0,34.0,28.1,não aplicável
2711,2015-07,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",774,224,2015,7,108.0,22.0,20.4,não aplicável
2715,2015-08,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",891,251,2015,8,117.0,27.0,23.1,não aplicável
1069,2015-09,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1037,294,2015,9,146.0,43.0,29.5,não aplicável
3545,2015-10,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1148,322,2015,10,111.0,28.0,25.2,não aplicável
1090,2015-11,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1274,361,2015,11,126.0,39.0,31.0,não aplicável
239,2015-12,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1371,396,2015,12,97.0,35.0,36.1,28.9
2752,2016-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",117,33,2016,1,117.0,33.0,28.2,não aplicável
255,2016-02,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",227,60,2016,2,110.0,27.0,24.5,não aplicável
3578,2016-03,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",350,99,2016,3,123.0,39.0,31.7,não aplicável
1907,2016-04,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",462,132,2016,4,112.0,33.0,29.5,não aplicável
2787,2016-05,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",584,173,2016,5,122.0,41.0,33.6,não aplicável
1923,2016-06,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",699,207,2016,6,115.0,34.0,29.6,não aplicável
3599,2016-07,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",822,260,2016,7,123.0,53.0,43.1,não aplicável
1153,2016-08,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",952,299,2016,8,130.0,39.0,30.0,não aplicável
2822,2016-09,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1076,340,2016,9,124.0,41.0,33.1,não aplicável
3624,2016-10,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1183,368,2016,10,107.0,28.0,26.2,não aplicável
2837,2016-11,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1288,407,2016,11,105.0,39.0,37.1,não aplicável
3642,2016-12,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",1378,441,2016,12,90.0,34.0,37.8,32.0
3650,2017-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",108,28,2017,1,108.0,28.0,25.9,não aplicável
1196,2017-02,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",208,58,2017,2,100.0,30.0,30.0,não aplicável
1996,2017-03,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",295,76,2017,3,87.0,18.0,20.7,não aplicável
1211,2017-04,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629,-9.1258493",403,102,2017,4,108.0,26.0,24.1,não aplicável
